,Country,Sport_1,Points_1,Sport_2,Points_2,Sport_3,Points_3
0,Italy,Athletics,12.36,Fencing,9.84,Swimming,9.11
1,Norway,Athletics,3.5,Sailing,1.74,Triathlon,1.59
2,Sweden,Equestrian,5.4,Sailing,3.34,Athletics,2.67
3,Great Britain,Swimming,18.61,Athletics,14.49,Cycling Track,14.28
4,Canada,Athletics,11.5,Swimming,6.5,Cycling Track,4.87
5,Czech Republic,Athletics,3.08,Tennis,2.81,Shooting,2.55
6,Switzerland,Cycling Mountain Bike,2.7,Tennis,2.51,Shooting,2.07
7,United States of America,Athletics,68.0,Swimming,63.31,Gymnastics Artistic,17.14
8,People's Republic of China,Athletics,17.12,Weightlifting,16.19,Table Tennis,15.89
9,Australia,Swimming,38.53,Athletics,8.49,Rowing,4.41
10,Japan,Wrestling,15.39,Athletics,11.67,Judo,9.71
11,Republic of Korea,Judo,7.99,Archery,7.55,Fencing,6.65
12,Denmark,Cycling Track,3.11,Badminton,2.02,Sailing,1.63
13,ROC,Fencing,19.69,Wrestling,16.32,Artistic Gymnastics,15.71
14,Finland,Ice Hockey,2.15,Artistic Gymnastics,1.12,Athletics,1.05
15,Kazakhstan,Wrestling,3.08,Boxing,2.41,Judo,1.48
16,France,Judo,14.69,Croquet,11.61,Fencing,9.92
17,New Zealand,Rowing,10.66,Cycling Track,7.45,Canoe Sprint,6.48
18,Ireland,Rowing,3.36,Boxing,3.13,Equestrian,1.24
19,Austria,Judo,1.78,Cycling Road,1.29,Artistic Gymnastics,1.08
20,Spain,Athletics,12.08,Canoe Sprint,5.4,Sailing,3.18
21,Germany,Equestrian,10.21,Judo,8.14,Athletics,7.71
22,Estonia,Fencing,2.22,Artistic Gymnastics,1.11,Athletics,0.91
23,Chile,Artistic Gymnastics,1.08,Athletics,0.72,Equestrian Dressage,0.42
24,Brazil,Gymnastics Artistic,5.05,Judo,4.93,Athletics,4.42
25,Belarus,Wrestling,2.89,Athletics,2.87,Canoe Sprint,2.4
26,Ukraine,Athletics,5.72,Wrestling,5.27,Canoe Sprint,3.64
27,Netherlands,Athletics,15.33,Cycling Track,14.46,Rowing,8.56
28,Hungary,Canoe Sprint,15.01,Fencing,5.59,Swimming,4.25
29,Croatia,Taekwondo,2.39,Tennis,2.23,Rowing,2.16
30,Poland,Athletics,18.65,Canoe Sprint,3.82,Cycling Track,3.72
31,Belgium,Equestrian Vaulting,3.92,Athletics,2.98,Artistic Gymnastics,2.5
32,Latvia,Artistic Gymnastics,1.09,Gymnastics Artistic,0.83,Weightlifting,0.73
33,"Hong Kong, China",Fencing,2.28,Cycling Track,2.06,Swimming,1.48
34,Israel,Judo,2.97,Artistic Gymnastics,1.98,Rhythmic Gymnastics,1.38
35,Turkey,Athletics,3.81,Karate,3.32,Wrestling,3.08
36,Malta,Artistic Gymnastics,1.1,Wrestling,0.51,Cycling Road,0.34
37,Andorra,Artistic Gymnastics,1.06,Lacrosse,0.25,Sailing,0.17
38,Slovenia,Cycling Road,3.08,Swimming,1.59,Canoe Slalom,1.54
39,Bulgaria,Wrestling,1.77,Rhythmic Gymnastics,1.43,Equestrian Dressage,1.32
40,Slovakia,Shooting,1.7,Canoe Slalom,1.28,Artistic Gymnastics,1.12
41,Romania,Rowing,5.36,Canoe Marathon,1.19,Equestrian Dressage,1.19
42,Georgia,Judo,6.67,Wrestling,3.16,Weightlifting,2.71
43,Armenia,Artistic Gymnastics,1.59,Wrestling,1.56,Weightlifting,0.84
44,Lithuania,Artistic Gymnastics,1.1,Modern Pentathlon,0.9,Cycling Track,0.79
45,Azerbaijan,Wrestling,2.63,Judo,2.01,Karate,1.94
46,Mexico,Athletics,3.24,Diving,2.33,Archery,1.2
47,Bosnia and Herzegovina,Artistic Gymnastics,1.08,Lacrosse,0.27,Polo,0.18
48,Republic of Moldova,Artistic Gymnastics,1.13,Canoe Sprint,1.08,Wrestling,0.53
49,Argentina,Swimming,1.43,Polo,1.12,Artistic Gymnastics,1.05
50,Chinese Taipei,Weightlifting,2.92,Badminton,2.12,Archery,1.97
51,Puerto Rico,Artistic Gymnastics,1.07,Tennis,0.88,Athletics,0.8
52,Kyrgyzstan,Wrestling,3.73,Artistic Gymnastics,1.09,Modern Pentathlon,0.33
53,Colombia,Athletics,4.93,Cycling BMX,3.36,Cycling BMX Racing,2.31
54,India,Shooting,2.67,Boxing,2.26,Wrestling,2.07
55,Portugal,Athletics,2.76,Judo,2.03,Canoe Sprint,1.57
56,San Marino,Shooting,1.12,Artistic Gymnastics,1.12,Wrestling,0.94
57,Philippines,Boxing,2.13,Weightlifting,1.13,Artistic Gymnastics,1.08
58,Lebanon,Artistic Gymnastics,1.1,Wrestling,0.4,Lacrosse,0.29
59,Uzbekistan,Boxing,3.99,Judo,2.74,Wrestling,2.42
60,Albania,Artistic Gymnastics,1.06,Lacrosse,0.25,Polo,0.15
61,Montenegro,Artistic Gymnastics,1.1,Wrestling,0.4,Lacrosse,0.29
62,Greece,Athletics,1.85,Artistic Gymnastics,1.61,Rowing,1.35
63,Kosovo,Judo,2.83,Artistic Gymnastics,1.09,Wrestling,0.4
64,Luxembourg,Artistic Gymnastics,1.1,Swimming,0.62,Wrestling,0.4
65,Madagascar,Artistic Gymnastics,1.1,Wrestling,0.4,Lacrosse,0.29
66,Cyprus,Artistic Gymnastics,1.12,Sailing,0.45,Athletics,0.43
67,Malaysia,Artistic Gymnastics,1.1,Cycling Track,0.98,Badminton,0.97
68,Haiti,Artistic Gymnastics,1.1,Shooting,0.88,Lacrosse,0.29
69,Thailand,Weightlifting,8.1,Taekwondo,1.29,Boxing,1.22
70,Pakistan,Artistic Gymnastics,1.13,Boxing,0.54,Cycling Road,0.5
71,Democratic Republic of Timor-Leste,Artistic Gymnastics,1.12,Lacrosse,0.31,Athletics,0.23
72,Iceland,Artistic Gymnastics,1.1,Swimming,0.47,Lacrosse,0.29
73,Monaco,Artistic Gymnastics,1.1,Wrestling,0.4,Lacrosse,0.29
74,Serbia,Shooting,3.98,Taekwondo,2.31,Wrestling,1.64
75,Liechtenstein,Artistic Gymnastics,1.1,Wrestling,0.4,Lacrosse,0.29
76,Bolivia,Artistic Gymnastics,1.08,Lacrosse,0.27,Polo,0.18
77,Morocco,Athletics,1.54,Artistic Gymnastics,1.09,Gymnastics Artistic,0.87
78,Ghana,Artistic Gymnastics,1.1,Boxing,0.76,Lacrosse,0.29
79,Jamaica,Athletics,18.28,Artistic Gymnastics,1.09,Wrestling,0.41
80,Eritrea,Artistic Gymnastics,1.12,Athletics,0.76,Cycling Road,0.35
81,Saudi Arabia,Artistic Gymnastics,1.13,Equestrian Jumping,1.13,Karate,0.8
